Código da Cozinha,Nome da Cozinha,Endereço da Cozinha,Bairro da Cozinha,CEP,Município da Cozinha,Código IBGE,UF,Email,CNPJ,A cozinha está em funcionamento atualmente?,Em quantos dias da semana a Cozinha Solidária funciona?,Situação,Público Atendido,Público Total Atendido,Quantidade refeições produzidas por dia de trabalho,Latitude,Longitude
CS014602,PROJETO SOCIAL A RIQUEZA DO AMOR.,"Rua:Três Marias, 695",Parque Novo Santo Amaro,05874-180,SÃO PAULO,3550308,SP,digaroll3@hotmail.com,,"Sim, está funcionando normalmente",1 vez por semana,Habilitada,"Pessoas em situação de rua, Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",900,300,-23.7003833,-46.7889520
CS014634,CAMESP,"Rua Projetada s/n - estrada da barra, 01",Zona rual,64995-000,CRISTALÂNDIA DO PIAUÍ,2203008,PI,caminhosdaesperanca2019@gmail.com,32.545.764/0001-59,"Sim, está funcionando normalmente",6 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Agricultores Familiares e Campesinos, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Outros grupos de pessoas em situação de vulnerabilidade social",1030,250,-10.6503409,-45.1865669
CS014605,CULTIVANDO SONHOS,"Rua Ana Maria Teixeira de Melo, 166",Jardim dos Palmares,26271-200,NOVA IGUAÇU,3303500,RJ,centrocomunitariocacjoc@hotmail.com,36.563.443/0001-38,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Outros grupos de pessoas em situação de vulnerabilidade social",555,48,-22.7561151,-43.5106289
CS017855,COZINHA SOLIDÁRIA RIO PRETO,"Rua Sadalla Abrão Zainum, 70",Don Lafayete,15046-100,SÃO JOSÉ DO RIO PRETO,3549805,SP,cozinhasolidariarp@gmail.com,28.799.171/0001-41,"Sim, está funcionando normalmente",2 vezes por semana,Habilitada,"Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",180,180,-20.7760466,-49.3896727
CS017239,AMIGOS DA ASMALI,"Avenida madame curie, 44",Santa Lucia,25271-090,DUQUE DE CAXIAS,3301702,RJ,america.1986.bispo@gmail.com,32.101.530/0001-12,Está funcionando com carga horária reduzida,2 vezes por semana,Habilitada,"Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",60,50,-22.6286462,-43.2127867
CS017125,ASSOCIACAO PESTALOZZI DE MAURITI,"RUA BENJAMIN CONSTANT, 908",SERRINHA,63210-000,MAURITI,2308104,CE,pestalozzimauriti@gmail.com,12.467.973/0001-14,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",200,100,-7.3846898,-38.7744431
CS017222,COZINHA SOLIDÁRIA NORTE CANTA RR,"vicinal 21 gleba baruana Canta RR, 72",vicinal 21 gleba baruana,69390-000,CANTÁ,1400175,RR,MARIAFERRAZRR@GMAIL.COM,59.058.601/0001-06 23 (titular)/ 59.012.645/0001-97 (suplente),"Sim, está funcionando normalmente",6 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Agricultores Familiares e Campesinos, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Assentados da Reforma Agrária, Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",219,250,2.6101143,-60.6010943
CS017767,COZINHA BEM SAUDÁVEL,"Avenida Recife, 198",Jardim Santo Afonso,07215-030,GUARULHOS,3518800,SP,iinstitutokaleo@gmail.com,05.726.788/0001-31,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Imigrantes, Outros grupos de pessoas em situação de vulnerabilidade social",370,230,-23.4734693,-46.4404964
CS014945,COZINHA SOLIDÁRIA DA OCUPAÇÃO VITÓRIA,"Rua 26 de Marco, nº49. Ocupação Vitória, 49",Cazuza,39100-000,DIAMANTINA,3121605,MG,diamantinaparatodos@gmail.com,58.775.278/0001-10 (titular) /58.775.150/0001-57 (suplente),"Sim, está funcionando normalmente",6 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",684,300,-18.2356358,-43.6224024
CS017878,COZINHA SOLIDÁRIA JARDIM DO ESTÁDIO,"Rua Professor Plínio Braga, 188/192",Jardim do Estádio,09172-080,SANTO ANDRÉ,3547809,SP,celina.math25@gmail.com,58.777.813/0001-72 (titular) /58.768.843/0001-12 (suplente),"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Pessoas em situação de rua, Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",510,250,-23.6973287,-46.5139963
CS017879,COZINHA SOLIDÁRIA JARDIM BONANÇA,"Rua Gilson Nardoni Rodrigues, 179",Jardim Bonança,06266-180,OSASCO,3534401,SP,contas.cozinhas@gmail.com,53.421.046/0001-40,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Crianças, Idosos, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Outros grupos de pessoas em situação de vulnerabilidade social",245,150,-23.4905918,-46.7909020
CS017884,COZINHA SOLIDÁRIA LUCIANA FERREIRA,"Rua Tietê, 309",Jardim Novo Campo Limpo,06826-480,EMBU DAS ARTES,3515004,SP,cidamoura825@gmail.com,58.666.176/0001-67,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Pessoas em situação de rua, Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",410,200,-23.6608154,-46.8013560
CS017885,COZINHA SOLIDÁRIA INSTITUTO CUCA,"Rua Nova Tuparoquera, 530",Jardim São Luiz Novo Santo Amaro,05820-200,SÃO PAULO,3550308,SP,zenildaseverina37@gmail.com,46.620.963/0001-99,"Sim, está funcionando normalmente",6 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Pessoas em situação de rua, Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Outros grupos de pessoas em situação de vulnerabilidade social",272,250,-23.6615917,-46.7402584
CS017886,COZINHA SOLIDÁRIA JARDIM VERMELHÃO,"Rua Central, 45",Jardim Vermelhão,07210-310,GUARULHOS,3518800,SP,wilcarodrigues@outlook.com,59.061.557/0001-85,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",160,100,-23.4620630,-46.4343120
CS014618,MARMITA SOLIDÁRIA TVB,"Rua José Zgoda, 205",Bairro Alto,82820-440,CURITIBA,4106902,PR,lilian.dallastra@gmail.com,22.722.451/0001-75,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Pessoas em situação de rua, Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",390,135,-25.4140346,-49.2202680
CS015858,COZINHA SOLIDÁRIA DIRINÉIA PINHEIRO,"Palmares 2 Vicinal do Limão IALA AMAZÔNICO, S/N",Palmares 2 zona rural,68515-000,PARAUAPEBAS,1505536,PA,cozinhadirineia@gmail.com,19.112.228/0001-00,"Sim, está funcionando normalmente",3 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Agricultores Familiares e Campesinos, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Assentados da Reforma Agrária, Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",910,600,-5.9481079,-49.8391518
CS015146,COZINHA DA ALEGRIA,"Rua Recanto dos Humildes, 82",Recanto dos Humildes,05209-000,SÃO PAULO,3550308,SP,institutodipi@gmail.com,27.532.496/0001-09,Está funcionando com carga horária reduzida,2 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Outros grupos de pessoas em situação de vulnerabilidade social",300,400,-23.4101639,-46.7504461
CS017909,COZINHA SOLIDÁRIA HERBERT DE SOUZA,"Rua Irmã Simpliciana, 26",Centro,01016-010,SÃO PAULO,3550308,SP,cissagladchi1@gmail.com,48.690.462/0001-04,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",1500,500,-23.5498519,-46.6328125
CS017912,COZINHA SOLIDÁRIA MONTANHÃO,"Estrada do Montanhão, 64153",Montanhão,09791-200,SÃO BERNARDO DO CAMPO,3548708,SP,danilodlx@gmail.com,60.996.606/0001-50,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Pessoas em situação de rua, Outros grupos de pessoas em situação de vulnerabilidade social",205,200,-23.7407267,-46.5213286
CS017816,COZINHA SOLIDÁRIA DA AMOBAC,"RUA CICERO RODRIGUES, 045",cohab I,63515-000,QUIXELÔ,2311355,CE,ambc18@bol.com.br,09.404.190/0001-87,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Outros grupos de pessoas em situação de vulnerabilidade social",320,100,-6.2561064,-39.2002423
CS016517,COZINHA SOLIDÁRIA MCP AFOGADOS,"Rua conjunto Habitacional Miguel Arrais de Alencar, 189",centro,56800-000,AFOGADOS DA INGAZEIRA,2600104,PE,mcp.pernambuco@gmail.com,51.415.528/0001-62,Está funcionando com carga horária reduzida,1 vez por semana,Habilitada,"Mulheres, Jovens, Pessoas em situação de rua, Outros grupos de pessoas em situação de vulnerabilidade social",170,120,-7.7361946,-37.6507664
CS017667,COZINHA SOLIDÁRIA DO SAPÊ,"Rua Daniel Riente, 10",Caramujo,24140-555,NITERÓI,3303302,RJ,rj.apoiasemteto@gmail.com,53.340.165/0001-79,Está funcionando com carga horária reduzida,3 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",820,200,-22.8946640,-43.0672981
CS014641,COZINHA SOCIAL ARC,"Rua Coronel Barata, 131",Treze de Maio,58025-300,JOÃO PESSOA,2507507,PB,arc.acoesolidarias@gmail.com,38.020.411/0001-11,"Sim, está funcionando normalmente",1 vez por semana,Habilitada,"Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",2031,495,-7.1128078,-34.8653924
CS017641,COZINHA PRATO CHEIO,"Rua Dr. March,, 1255",Tenente Jardim,24410-375,SÃO GONÇALO,3304904,RJ,monicaseverinosantosdasilva@gmail.com,,Está funcionando com carga horária reduzida,2 vezes por semana,Habilitada,Pessoas em situação de rua,150,573,-22.8636163,-43.0829129
CS015324,COZINHA ESPERANÇA,"Rua Rio kaquende 116E Itacaranha, 116E",Itacaranha,40413-090,SALVADOR,2927408,BA,Samuelnunes.psicologo@gmail.com,34.282.533/0001-25,"Sim, está funcionando normalmente",3 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",924,400,-12.8890355,-38.4861159
CS017522,INSTITUTO MARIA LUZ,"Rua Divisão, 66- Posse-Nova Iguaçu- RJ- CEP: 26020176, 66",Ponto Chic,26032-780,NOVA IGUAÇU,3303500,RJ,institutomarialuz@gmail.com,48.847.361/0001-02,Está funcionando com carga horária reduzida,5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",635,150,-22.7339265,-43.4576123
CS016803,PROJETO SOCIAL MISSÃO IDE-RS,"Rua Mário Adelar, 20",Salgado filho,97043-760,SANTA MARIA,4316907,RS,projetosocialmissaoide.rs@gmail.com,,"Sim, está funcionando normalmente",3 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",825,150,-29.6704895,-53.8251143
CS015811,COZINHA POPULAR,"Rua General Hermes, 91, 91",Centro,57020-091,MACEIÓ,2704302,AL,centrozumbi@gmail.com,07.365.874/0001-91,Está funcionando com carga horária reduzida,1 vez por semana,Habilitada,"Pessoas em situação de rua, Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",700,100,-9.6585778,-35.7393770
CS018000,COZINHA FAMILIA POVO DE RUA,"Rua vila Caiz, N•05",VILA NOVA DAS BELEZAS,05777-110,SÃO PAULO,3550308,SP,Proj.fampovoderua@outlook.com,53.815.718/0001-00,"Sim, está funcionando normalmente",Uma vez ao mês,Habilitada,"Pessoas em situação de rua, Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Outros grupos de pessoas em situação de vulnerabilidade social",720,350,-23.6445427,-46.7523113
CS017972,COZINHA MARIA DO CARMO,"R DOS ESCOTEIROS, 641",SAO MIGUEL PAULISTA,08050-350,SÃO PAULO,3550308,SP,institutomariadocarmoevangelis@gmail.com,,Está funcionando com carga horária reduzida,3 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Outros grupos de pessoas em situação de vulnerabilidade social",140,350,-23.5148066,-46.4576647
CS017963,INSTITUTO LAR,"Rua Do Senado, 200",Centro,20231-006,RIO DE JANEIRO,3304557,RJ,contato@institutolar.org.br,29.082.702/0001-43,"Sim, está funcionando normalmente",4 vezes por semana,Habilitada,"Pessoas em situação de rua, Outros grupos de pessoas em situação de vulnerabilidade social",100,100,-22.9101768,-43.1887906
CS018020,COZINHA SOLIDÁRIA BANANAL,"Rua Carvoeira, 501/508",Jardim Angela,04948-030,SÃO PAULO,3550308,SP,manuellacorreiasantos@gmail.com,58.652.064/0001-57,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",245,150,-23.7337787,-46.7873349
CS018021,COZINHA TIA MARCELINA - ALAGOAS,"s/n°, avenida Alice Carolina",cidade universitaria,57073-415,MACEIÓ,2704302,AL,cozinhatiamarcelina@gmail.com,35.620.773/0001-55 (Titular)/ 52.190.475/0001-91 (Suplente),"Sim, está funcionando normalmente",7 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",1400,1500,-9.5459591,-35.7616740
CS018027,COZINHA SOLIDARIA PROFESSOR PAULO BANDEIRA - ALAGOAS,"CJ PROFESSOR PAULO BANDEIRA QD 02, S/N°",Benedito Bentes 2,57086-284,MACEIÓ,2704302,AL,mtstalagoas@gmail.com,12.256.990/0001-02,"Sim, está funcionando normalmente",6 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",1422,500,-9.5814816,-35.7173483
CS017993,COZINHA SOLIDÁRIA PICUAIA,"Rua Alfa, 14, 14",Jardim Picuaia - Caji,42721-290,LAURO DE FREITAS,2919207,BA,saoryakine@yahoo.com.br,28.799.171/0001-41,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",1650,250,-12.8813110,-38.3398360
CS017825,KI-DELICÍAS,"Av Felisbela Caetano, S/N",São Joaquim,62660-000,UMIRIM,2313757,CE,tatyana_alcantara@hotmail.com,,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",140,80,-3.6922943,-39.4494620
CS014543,COZINHA POPULAR MARA,"SHSN Chácara 84 Conjunto H1, 8 e 9",Sol Nascente,72236-800,BRASÍLIA,5300108,DF,direitos.df@gmail.com,21.288.852/0001-04,"Sim, está funcionando normalmente",4 vezes por semana,Habilitada,"Mulheres, Crianças, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",393,171,-15.8175844,-48.1354767
CS018080,COZINHA SOLIDÁRIA TERRA PROMETIDA,"Rua Maria Trevizani, 1002",Jardim Vera Cruz,04965-150,SÃO PAULO,3550308,SP,claudiaterraprometida@gmail.com,59.175.304/0001-32 (titular) / 59.195.911/0001-64 (suplente),"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Pessoas em situação de rua, Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",510,250,-23.7414584,-46.7786289
CS018077,COZINHA MAE SIMPLICIA,"2ª Travessa Pedro Gama de Baixo, 8O",Federação,40230-205,SALVADOR,2927408,BA,cozinhasolidarialf@gmail.com,28.799.171/0001-41,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",500,200,-12.9938022,-38.4999247
CS017607,ABAF - ASSOCIAÇÃO BREJOSANTENSE DE APOIO À FAMILIA,"RUA LUIZ PINHEIRO TORRES, 04",MORRO DOURADO e 01 anexo no Renê Lucena,63260-000,BREJO SANTO,2302503,CE,abafbrejosanto1@gmail.com,12.465.597/0001-29,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",393,210,-7.4902923,-38.9951254
CS018100,COZINHA LEVANTA-TE E ANDA,"Rua Lauro de Freitas, 562",Novo Horizonte,44036-388,FEIRA DE SANTANA,2910800,BA,alevantateeanda@gmail.com,27.088.969/0001-12,Está funcionando com carga horária reduzida,3 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",570,150,-12.1896870,-38.9711290
CS018003,COZINHA CAROLI /C.J. SANTA CABRINI,"Rua São Valentino, 7790",Angelim,64040-060,TERESINA,2211001,PI,CJSCABRINI@HOTMAIL.COM,61.988.531/0004-71,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Crianças, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",530,400,-5.0871610,-42.7390799
CS016512,COZINHA POPULAR DO CERRADO,"Ocupação Beira da Mata, Quadra 100B, Lote 43",Bairro Independência,74905-970,APARECIDA DE GOIÂNIA,5201405,GO,cozinhapopulardocerrado@gmail.com,,"Sim, está funcionando normalmente",2 vezes por semana,Habilitada,-,0,0,-16.8158920,-49.2930156
CS017779,ASSOCIAÇÃO MORADORES DE SALGADO,"COMUNIDADE DO SALGADO, S/N",Salgado,62630-000,APUIARÉS,2300903,CE,associacaomoradoressalgado@gmail.com,00.742.495/0001-24,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",120,80,-3.9531256,-39.2791011
CS017866,COZINHA SOLIDÁRIA DE NOVA SANTA RITA,"Rua Cinco de Maio, -----",Interior,92480-000,NOVA SANTA RITA,4313375,RS,aassociacao.filhosdaterra@gmail.com,09.434.587/0001-11,Está funcionando com carga horária reduzida,3 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Assentados da Reforma Agrária, Outros grupos de pessoas em situação de vulnerabilidade social",5774,5000,-29.7735873,-51.3288467
CS018113,COZINHA SOLIDÁRIA OCUPAÇÃO EM BUSCA DE UM SONHO,"Rua Guarino Baldan, 14",Antenor Garcia,13573-300,SÃO CARLOS,3548906,SP,julianaabf@gmail.com,,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública",185,200,-22.0521240,-47.9145260
CS017535,ADUM_ SABORES ANCESTRAIS,"Rua Benedita de Souza e Silva n 1, N 1 casa C",Leme,22010-020,RIO DE JANEIRO,3304557,RJ,lysandra.moura11@gmail.com,52.620.149/0001-77,"Sim, está funcionando normalmente",6 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Outros grupos de pessoas em situação de vulnerabilidade social",215,300,-22.8965841,-43.5990792
CS018120,PROSPERANÇA,"Alameda dos Papagaios, 275",Balneário Arara Vermelha,11730-000,MONGAGUÁ,3531100,SP,ong.prosperanca@gmail.com,00.712.148/0001-59,"Sim, está funcionando normalmente",6 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",53,131,-24.1307331,-46.7151076
CS016682,COZINHA SOLIDÁRIA PORTO ILUMINADO,"Rua Professor Hasegawa, 2015",Colônia (Zona Leste),08260-090,SÃO PAULO,3550308,SP,portoiluminado@gmail.com,58.532.762/0001-19,Está funcionando com carga horária reduzida,3 vezes por semana,Habilitada,"Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",400,200,-23.5732299,-46.4306054
